count,from,to,timeframe,start,end
80,koncolanyalla,dpdri,22,1/12/2021 6:34,1/19/2021 23:07
81,koncolanyalla,sahabatlanyalla,22,1/12/2021 6:34,1/19/2021 23:07
82,koncolanyalla,fparlemen,22,1/12/2021 6:34,1/19/2021 23:07
83,koncolanyalla,kemenpu,22,1/12/2021 6:34,1/19/2021 23:07
84,koncolanyalla,lanyallamm1,22,1/12/2021 6:34,1/19/2021 23:07
85,koncolanyalla,forumsumbar,22,1/12/2021 6:34,1/19/2021 23:07
86,koncolanyalla,info_senator,22,1/12/2021 6:34,1/19/2021 23:07
87,koncolanyalla,kemendag,22,1/12/2021 6:34,1/19/2021 23:07
88,fansberat_inul,koncolanyalla,23,1/12/2021 6:52,1/19/2021 23:07
89,fansberat_inul,lanyalla_news,23,1/12/2021 6:52,1/19/2021 23:07
90,lanyalla_news,rmol_id,24,1/12/2021 7:13,1/19/2021 23:07
91,detikcom,detikfinance,25,1/12/2021 7:48,1/19/2021 23:07
92,fansberat_inul,dpdri,26,1/12/2021 8:14,1/19/2021 23:07
93,fansberat_inul,info_dpdri,26,1/12/2021 8:14,1/19/2021 23:07
94,dewaekayana,hariankompas,27,1/12/2021 23:31,1/19/2021 23:07
95,koncolanyalla,jpnncom,28,1/13/2021 0:49,1/19/2021 23:07
96,sing_ayudewe,jokowi,29,1/13/2021 2:08,1/19/2021 23:07
97,rohmansz,antaranews,30,1/13/2021 2:15,1/19/2021 23:07
98,rohmansz,rudyroedyanto,30,1/13/2021 2:15,1/19/2021 23:07
99,detikcom,detikfinance,31,1/13/2021 3:10,1/19/2021 23:07
100,wartatasikcom,pemkabtasik,32,1/13/2021 4:22,1/19/2021 23:07
101,island_zero,distan_pangan,33,1/13/2021 4:35,1/19/2021 23:07
102,island_zero,balebengong,33,1/13/2021 4:35,1/19/2021 23:07
103,island_zero,pemprovbali,33,1/13/2021 4:35,1/19/2021 23:07
104,humasjateng,dprdjatengprov,34,1/13/2021 4:50,1/19/2021 23:07
105,humasjateng,tajyasinmz,34,1/13/2021 4:50,1/19/2021 23:07
106,humasjateng,ganjarpranowo,34,1/13/2021 4:50,1/19/2021 23:07
107,cimotloy,rj4smine,35,1/13/2021 5:10,1/19/2021 23:07
108,cimotloy,ln,35,1/13/2021 5:10,1/19/2021 23:07
109,cimotloy,airlangga_hrt,35,1/13/2021 5:10,1/19/2021 23:07
110,aryprasetyo85,gus_raharjo,36,1/13/2021 6:06,1/19/2021 23:07
111,aryprasetyo85,podjiutami,36,1/13/2021 6:06,1/19/2021 23:07
112,tolakbigotnkri,je_ly,37,1/13/2021 8:17,1/19/2021 23:07
113,tolakbigotnkri,sentilin,37,1/13/2021 8:17,1/19/2021 23:07
114,tolakbigotnkri,mulanbilqis,37,1/13/2021 8:17,1/19/2021 23:07
